[2021-09-20 12:55_09] [DEBUG] [OdontologoController:28] No se creo la el nuevo Odontologo
[2021-09-20 12:55_09] [DEBUG] [OdontologoController:28] No se creo la el nuevo Odontologo
[2021-09-20 12:55_09] [DEBUG] [OdontologoController:28] No se creo la el nuevo Odontologo
[2021-09-20 12:55_09] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-09-20 12:55_22] [DEBUG] [PacienteController:46] Error al eliminar el paciente con id: 3
=========================================
[2021-09-20 12:58_18] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-09-20 12:58_25] [DEBUG] [PacienteController:46] Error al eliminar el paciente con id: 3
[2021-09-20 13:00_23] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-09-20 13:01_50] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-09-20 13:05_18] [DEBUG] [PacienteController:46] Error al eliminar el paciente con id: 3
[2021-09-20 13:05_31] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-09-20 13:08_08] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
====================================
[2021-10-01 12:07_31] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-10-01 12:08_42] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-10-01 12:10_17] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-10-02 17:16_11] [DEBUG] [OdontologoController:64] The given id must not be null!; nested exception is java.lang.IllegalArgumentException: The given id must not be null!
[2021-10-02 18:17_18] [DEBUG] [TurnoServiceImpl:52] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-02 18:18_19] [DEBUG] [TurnoServiceImpl:52] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-02 18:19_52] [DEBUG] [TurnoServiceImpl:52] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-02 18:22_53] [DEBUG] [TurnoServiceImpl:52] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-02 19:06_31] [DEBUG] [TurnoServiceImpl:51] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-02 20:48_57] [DEBUG] [TurnoServiceImpl:58] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-03 00:14_12] [DEBUG] [TurnoServiceImpl:58] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-03 00:15_39] [DEBUG] [TurnoServiceImpl:58] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-03 00:16_15] [DEBUG] [TurnoServiceImpl:58] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
[2021-10-03 00:22_23] [DEBUG] [TurnoServiceImpl:58] org.springframework.dao.InvalidDataAccessResourceUsageException: could not prepare statement; SQL [FROM turno t WHERE (t.turnoFecha >= ? AND t.turnoFecha <=?)]; nested exception is org.hibernate.exception.SQLGrammarException: could not prepare statement
